epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4125.23,0.81456,0.59681,1.03589,0.30716,0.28058,0.23812,0.11953,1.78391,2.38138,1.79449,9.90192e-05,9.90192e-05,9.90192e-05
86,4377.29,0.79924,0.58692,1.03374,0.28559,0.26725,0.22644,0.11639,1.81553,2.39531,1.82061,9.3198e-05,9.3198e-05,9.3198e-05
87,4630.73,0.7946,0.58378,1.02731,0.30446,0.25315,0.21903,0.10631,1.81411,2.33892,1.83524,8.73768e-05,8.73768e-05,8.73768e-05
88,4883.11,0.80011,0.59816,1.04279,0.2846,0.31393,0.24065,0.11908,1.81873,2.33905,1.83869,8.15556e-05,8.15556e-05,8.15556e-05
89,5135.94,0.78538,0.57214,1.01632,0.28026,0.29957,0.22349,0.1088,1.81519,2.42873,1.81436,7.57344e-05,7.57344e-05,7.57344e-05
90,5387.2,0.78621,0.55519,1.01945,0.35181,0.26,0.24349,0.11871,1.80871,2.36019,1.84571,6.99132e-05,6.99132e-05,6.99132e-05
91,5639.06,0.87873,0.64615,1.07408,0.29144,0.29747,0.2342,0.11906,1.81102,2.30503,1.83274,6.4092e-05,6.4092e-05,6.4092e-05
92,869.447,0.77175,0.57821,1.02217,0.31396,0.25416,0.22609,0.11399,1.81057,2.3454,1.85115,5.82708e-05,5.82708e-05,5.82708e-05
93,1129.87,0.71491,0.51304,0.99343,0.28134,0.29073,0.24605,0.12501,1.81603,2.37855,1.88137,5.24496e-05,5.24496e-05,5.24496e-05
94,1409.9,0.72927,0.51713,0.98938,0.30877,0.27914,0.24692,0.12529,1.81022,2.36298,1.85786,4.66284e-05,4.66284e-05,4.66284e-05
95,1676.7,0.69164,0.48888,0.97409,0.31767,0.28465,0.23584,0.11745,1.8108,2.42067,1.87705,4.08072e-05,4.08072e-05,4.08072e-05
96,1938.1,0.69646,0.49601,0.98806,0.30191,0.29023,0.23938,0.12145,1.8065,2.43928,1.88203,3.4986e-05,3.4986e-05,3.4986e-05
97,2199.16,0.68934,0.48963,0.98298,0.29502,0.29308,0.23659,0.12007,1.80461,2.40182,1.88632,2.91648e-05,2.91648e-05,2.91648e-05
98,2460.04,0.67636,0.47602,0.96971,0.30975,0.27783,0.24227,0.11884,1.81623,2.42964,1.88779,2.33436e-05,2.33436e-05,2.33436e-05
99,2719.11,0.66221,0.47099,0.96941,0.32616,0.28395,0.24263,0.12016,1.81616,2.41462,1.89925,1.75224e-05,1.75224e-05,1.75224e-05
100,2984.8,0.67394,0.47105,0.97595,0.30059,0.29267,0.23914,0.11799,1.81974,2.45445,1.89635,1.17012e-05,1.17012e-05,1.17012e-05
